rpctr.lg,rgdp.lg,lbrshr.lg,capult.lg,rpce.lg,tnyrint,debtidx.lg
30.934,37.369,4.136,4.378,32.38,3.88,4.651
30.824,37.37,4.153,4.376,32.383,4.1,4.654
30.746,37.368,4.165,4.371,32.38,4.01,4.652
30.676,37.364,4.175,4.355,32.377,3.89,4.655
30.681,37.358,4.174,4.309,32.369,3.69,4.649
30.684,37.348,4.177,4.318,32.361,3.81,4.636
30.689,37.341,4.176,4.304,32.345,3.53,4.662
30.702,37.335,4.174,4.274,32.337,2.42,4.683
30.736,37.332,4.164,4.247,32.342,2.52,4.667
30.748,37.329,4.163,4.24,32.34,2.87,4.66
30.764,37.328,4.162,4.223,32.336,2.82,4.67
30.783,37.328,4.166,4.214,32.336,2.93,4.655
30.862,37.328,4.156,4.203,32.339,3.29,4.649
30.807,37.328,4.167,4.199,32.345,3.72,4.644
30.807,37.329,4.168,4.211,32.348,3.56,4.644
30.81,37.331,4.167,4.223,32.359,3.59,4.646
30.828,37.335,4.162,4.232,32.35,3.4,4.65
30.814,37.339,4.165,4.235,32.354,3.39,4.65
30.816,37.343,4.165,4.241,32.354,3.4,4.656
30.828,37.345,4.16,4.246,32.36,3.59,4.636
30.864,37.345,4.15,4.259,32.359,3.73,4.646
30.866,37.347,4.145,4.264,32.362,3.69,4.643
30.869,37.35,4.145,4.273,32.366,3.73,4.635
30.865,37.354,4.146,4.279,32.367,3.85,4.641
30.864,37.357,4.147,4.295,32.368,3.42,4.65
30.863,37.36,4.147,4.299,32.369,3.2,4.66
30.863,37.362,4.148,4.305,32.372,3.01,4.661
30.876,37.364,4.145,4.311,32.375,2.7,4.673
30.874,37.367,4.144,4.315,32.375,2.65,4.671
30.87,37.369,4.144,4.313,32.378,2.54,4.67
30.869,37.37,4.141,4.315,32.381,2.76,4.66
30.871,37.369,4.138,4.326,32.383,3.29,4.645
30.872,37.367,4.131,4.324,32.385,3.39,4.642
30.869,37.367,4.13,4.32,32.386,3.58,4.64
30.868,37.369,4.129,4.33,32.392,3.41,4.638
30.867,37.373,4.127,4.327,32.392,3.46,4.647
30.863,37.375,4.126,4.327,32.392,3.17,4.653
30.858,37.375,4.126,4.329,32.392,3,4.649
30.854,37.373,4.128,4.333,32.393,3,4.663
30.852,37.373,4.125,4.338,32.393,2.3,4.679
30.852,37.376,4.123,4.336,32.396,1.98,4.688
30.854,37.381,4.118,4.341,32.398,2.15,4.684
30.854,37.385,4.113,4.339,32.398,2.01,4.684
30.858,37.389,4.113,4.343,32.397,1.98,4.689
30.842,37.391,4.121,4.347,32.402,1.97,4.691
30.841,37.393,4.122,4.348,32.408,1.97,4.683
30.846,37.395,4.121,4.341,32.407,2.17,4.673
30.849,37.397,4.118,4.346,32.408,2.05,4.682
30.849,37.398,4.116,4.347,32.406,1.8,4.694
30.85,37.399,4.118,4.345,32.403,1.62,4.689
30.846,37.399,4.124,4.346,32.403,1.53,4.696
30.843,37.399,4.126,4.34,32.405,1.68,4.692
30.848,37.399,4.126,4.338,32.407,1.72,4.689
30.846,37.399,4.121,4.339,32.409,1.75,4.684
30.849,37.4,4.12,4.342,32.411,1.65,4.686
30.854,37.403,4.108,4.343,32.409,1.72,4.68
30.852,37.408,4.142,4.342,32.414,1.91,4.672
30.853,37.411,4.14,4.345,32.417,1.98,4.674
30.856,37.412,4.139,4.348,32.416,1.96,4.674
30.851,37.412,4.141,4.346,32.415,1.76,4.679
30.859,37.412,4.14,4.346,32.417,1.93,4.66
30.861,37.414,4.141,4.347,32.418,2.3,4.646
30.859,37.418,4.138,4.343,32.419,2.58,4.643
30.86,37.421,4.138,4.348,32.42,2.74,4.635
30.859,37.425,4.136,4.353,32.421,2.81,4.641
30.857,37.429,4.14,4.351,32.424,2.62,4.642
30.856,37.431,4.142,4.353,32.428,2.72,4.637
30.859,37.43,4.144,4.354,32.429,2.9,4.626
30.862,37.426,4.144,4.35,32.427,2.86,4.639
30.865,37.426,4.144,4.357,32.431,2.71,4.639
30.87,37.428,4.142,4.366,32.437,2.72,4.635
30.875,37.434,4.137,4.366,32.438,2.71,4.639
30.882,37.44,4.134,4.369,32.44,2.56,4.646
30.886,37.444,4.131,4.371,32.443,2.6,4.643
30.889,37.449,4.131,4.372,32.445,2.54,4.64
30.893,37.452,4.133,4.37,32.45,2.42,4.648
30.896,37.454,4.133,4.372,32.45,2.53,4.64
30.899,37.455,4.134,4.371,32.456,2.3,4.645
30.901,37.456,4.136,4.377,32.458,2.33,4.652
30.908,37.459,4.136,4.376,32.459,2.21,4.65
30.916,37.463,4.136,4.367,32.458,1.88,4.673
30.921,37.466,4.135,4.36,32.461,1.98,4.657
30.926,37.468,4.137,4.357,32.465,2.04,4.66
30.928,37.47,4.137,4.351,32.465,1.94,4.654
30.93,37.472,4.138,4.346,32.468,2.2,4.649
30.93,37.473,4.137,4.343,32.469,2.36,4.639
30.931,37.475,4.138,4.349,32.473,2.32,4.645
30.932,37.476,4.139,4.348,32.475,2.17,4.641
30.933,37.476,4.139,4.345,32.474,2.17,4.647
30.933,37.476,4.14,4.341,32.475,2.07,4.643
30.936,37.477,4.14,4.334,32.478,2.26,4.638
30.942,37.479,4.139,4.329,32.481,2.24,4.634
30.944,37.482,4.139,4.334,32.484,2.09,4.65
30.948,37.484,4.138,4.328,32.49,1.78,4.655
30.949,37.485,4.138,4.321,32.486,1.89,4.656
30.948,37.485,4.139,4.324,32.489,1.81,4.653
30.948,37.486,4.139,4.321,32.49,1.81,4.651
30.948,37.488,4.139,4.326,32.495,1.64,4.668
30.95,37.491,4.14,4.327,32.497,1.5,4.669
30.954,37.494,4.138,4.325,32.498,1.56,4.662
30.954,37.496,4.139,4.324,32.502,1.63,4.661
30.958,37.497,4.139,4.325,32.501,1.76,4.65
30.955,37.499,4.139,4.321,32.502,2.14,4.627
30.956,37.501,4.138,4.328,32.508,2.49,4.625
30.961,37.502,4.136,4.325,32.511,2.43,4.626
30.962,37.504,4.136,4.322,32.511,2.42,4.627
30.963,37.506,4.134,4.329,32.514,2.48,4.627
30.961,37.507,4.135,4.339,32.516,2.3,4.63
30.963,37.509,4.132,4.341,32.515,2.3,4.633
30.965,37.512,4.135,4.344,32.518,2.19,4.629
30.967,37.514,4.137,4.342,32.519,2.32,4.629
30.97,37.517,4.136,4.339,32.519,2.21,4.636
30.973,37.521,4.136,4.341,32.527,2.2,4.628
30.975,37.525,4.136,4.355,32.527,2.36,4.626
30.966,37.529,4.139,4.358,32.532,2.35,4.623
30.966,37.532,4.14,4.362,32.539,2.4,4.625
30.981,37.535,4.14,4.363,32.539,2.58,4.614
30.981,37.537,4.138,4.366,32.54,2.86,4.606
30.983,37.539,4.137,4.371,32.541,2.84,4.611
30.983,37.54,4.137,4.383,32.542,2.87,4.603
30.983,37.542,4.136,4.373,32.545,2.98,4.607
30.984,37.544,4.136,4.382,32.545,2.91,4.607
30.986,37.547,4.136,4.383,32.547,2.89,4.602
30.986,37.549,4.137,4.389,32.548,2.89,4.606
30.985,37.549,4.136,4.389,32.547,3,4.598
30.988,37.549,4.133,4.387,32.55,3.15,4.592
30.986,37.549,4.133,4.387,32.554,3.12,4.598
30.989,37.551,4.127,4.386,32.546,2.83,4.61
31.013,37.553,4.132,4.379,32.547,2.71,4.613
31.015,37.556,4.133,4.373,32.548,2.68,4.61
31.018,37.558,4.135,4.372,32.556,2.57,4.623
31.02,37.561,4.133,4.366,32.557,2.53,4.62
31.022,37.564,4.13,4.366,32.56,2.4,4.635
31.024,37.568,4.131,4.366,32.562,2.07,4.64
31.026,37.573,4.13,4.36,32.567,2.06,4.638
31.027,37.576,4.13,4.367,32.571,1.63,4.662
31.028,37.579,4.13,4.363,32.572,1.7,4.653
31.031,37.58,4.134,4.353,32.573,1.71,4.651
31.029,37.582,4.134,4.358,32.578,1.81,4.648
31.023,37.585,4.136,4.355,32.58,1.86,4.642
31.031,37.588,4.139,4.349,32.584,1.76,4.66
31.032,37.575,4.142,4.352,32.58,1.5,4.676
31.059,37.544,4.137,4.312,32.511,0.87,4.694
31.745,37.494,3.944,4.17,32.394,0.66,4.691
31.534,37.476,4.019,4.186,32.476,0.67,4.686
31.463,37.492,4.043,4.25,32.53,0.73,4.684
31.478,37.539,4.039,4.287,32.543,0.62,4.692
31.292,37.568,4.079,4.298,32.55,0.65,4.682
31.276,37.579,4.078,4.299,32.562,0.68,4.681
31.213,37.574,4.097,4.308,32.565,0.79,4.673
31.173,37.572,4.115,4.314,32.562,0.87,4.675
31.188,37.574,4.113,4.329,32.566,0.93,4.672
31.615,37.581,4.016,4.337,32.578,1.08,4.666
31.288,37.587,4.083,4.305,32.568,1.26,4.649
31.954,37.594,3.9,4.335,32.61,1.61,4.638
31.408,37.6,4.051,4.339,32.618,1.64,4.642
31.273,37.605,4.08,4.35,32.616,1.62,4.643
31.234,37.607,4.088,4.356,32.624,1.52,4.646
31.252,37.608,4.086,4.362,32.623,1.32,4.657
31.245,37.611,4.088,4.364,32.628,1.28,4.653
31.184,37.617,4.101,4.355,32.627,1.37,4.645
31.175,37.626,4.105,4.369,32.634,1.58,4.644
31.168,37.631,4.108,4.379,32.637,1.56,4.647
31.163,37.631,4.112,4.379,32.633,1.47,4.642
31.163,37.628,4.111,4.38,32.633,1.76,4.626
31.17,37.626,4.109,4.386,32.632,1.93,4.621
31.165,37.626,4.108,4.394,32.639,2.13,4.597
31.162,37.627,4.106,4.396,32.638,2.75,4.571
31.153,37.628,4.105,4.396,32.636,2.9,4.571
31.145,37.63,4.104,4.394,32.642,3.14,4.56
31.147,37.633,4.108,4.395,32.64,2.9,4.573
31.146,37.636,4.109,4.394,32.645,2.9,4.551
31.144,37.638,4.11,4.396,32.646,3.52,4.521
31.164,37.64,4.102,4.393,32.65,3.98,4.512
31.165,37.642,4.099,4.387,32.646,3.89,4.532
31.167,37.645,4.096,4.372,32.643,3.62,4.523
31.151,37.647,4.099,4.379,32.658,3.53,4.541
31.159,37.65,4.096,4.377,32.658,3.75,4.525
31.162,37.652,4.093,4.375,32.657,3.66,4.545
31.16,37.653,4.094,4.377,32.663,3.46,4.546
31.163,37.656,4.095,4.372,32.662,3.57,4.534
31.161,37.659,4.097,4.364,32.665,3.75,4.529
31.152,37.663,4.1,4.369,32.668,3.9,4.527
31.151,37.667,4.101,4.368,32.669,4.17,4.523
31.148,37.671,4.101,4.369,32.672,4.38,4.508
31.15,37.674,4.1,4.36,32.675,4.8,4.498
31.149,37.676,4.101,4.362,32.677,4.5,4.522
31.153,37.677,4.101,4.359,32.681,4.02,4.542
31.177,37.676,4.096,4.346,32.678,4.06,4.542
31.186,37.677,4.099,4.358,32.683,4.21,4.531
31.192,37.68,4.099,4.355,32.688,4.21,4.534
31.193,37.683,4.098,4.352,32.69,4.54,4.517
31.196,37.687,4.1,4.358,32.693,4.48,4.525
31.2,37.69,4.098,4.359,32.695,4.31,4.529
31.205,37.692,4.099,4.351,32.7,4.25,4.545
31.206,37.695,4.102,4.355,32.701,3.87,4.552
31.212,37.697,4.102,4.35,32.706,3.72,4.56
31.217,37.699,4.101,4.345,32.708,4.1,4.542
31.215,37.7,4.102,4.341,32.71,4.36,4.546
31.216,37.699,4.102,4.35,32.717,4.39,4.534
31.222,37.697,4.1,4.348,32.711,4.63,4.537
31.234,37.697,4.1,4.356,32.711,4.45,4.55
31.247,37.7,4.099,4.351,32.717,4.28,4.551
31.274,37.705,4.094,4.351,32.718,4.28,4.552
31.254,37.708,4.101,4.35,32.717,4.42,4.542
31.265,37.709,4.1,4.354,32.722,4.38,4.55
31.262,37.71,4.101,4.349,32.722,4.39,4.546
31.26,37.711,4.1,4.349,32.723,4.26,4.552
